snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,phase0,phase1,phase2,phase3,phase4
600.0,6.3231816,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,6.3231816,1.5,13.0,2.4251995,49.863403,244.15579,31.772676,48.093834,0.0,2.8227632,-3.0812519,0.99379283,-1.727524
600.0,6.3231816,2.5,36.0,18.670553,20.20639,1075.1681,102.681046,83.399284,0.0,-0.14221665,3.0127769,-0.7034093,0.53065526
600.0,6.3231816,3.5,40.0,10.565573,48.090492,821.7968,26.867231,27.875769,0.0,3.0532045,2.9753919,1.5684562,-0.8000058
600.0,6.3231816,4.5,48.0,10.064042,84.30121,704.96826,32.127728,7.7014933,0.0,1.9430672,-2.9705944,-1.832923,0.7724549
600.0,6.3231816,5.5,75.0,15.061853,85.44669,942.42096,21.300106,31.100567,0.0,0.59793174,-2.9698029,-2.0786247,1.0570478
600.0,6.3231816,6.5,73.0,63.970303,55.188423,644.03894,116.89596,70.766975,0.0,-3.0999858,-3.0646577,1.0848123,-0.042807214
600.0,6.3231816,7.5,86.0,76.21585,88.7583,721.451,127.90651,120.7504,0.0,1.9345186,-3.0450952,0.6594894,0.23559254
600.0,6.3231816,8.5,110.0,32.842705,188.78825,861.3097,179.85068,122.64007,0.0,0.57538927,-3.0551853,0.32153457,1.8427035
600.0,6.3231816,9.5,104.0,83.178185,252.28957,617.3047,91.91615,127.631134,0.0,0.7201733,-3.132803,-1.0003663,1.1978188
600.0,6.3231816,10.5,132.0,72.35852,151.8838,744.68567,141.3829,195.5743,0.0,1.2389041,3.1407144,-0.9915718,1.5255632
600.0,6.3231816,11.5,143.0,49.734154,141.99968,530.44385,238.81853,173.32245,0.0,2.6140969,-2.900416,1.3278787,1.7904481
600.0,6.3231816,12.5,137.0,37.759953,76.112724,443.25714,220.78543,43.06227,0.0,-1.9939862,-2.7625518,2.4377725,1.3395941
600.0,6.3231816,13.5,178.0,86.59983,113.93828,788.322,74.46947,73.21225,0.0,-1.5300943,-2.7261589,0.9126373,0.8813605
600.0,6.3231816,14.5,170.0,221.50372,17.876635,883.0337,346.78665,228.42921,0.0,0.29831114,-2.9313848,0.012574682,0.43660983
600.0,6.3231816,15.5,187.0,139.46222,130.46788,1299.4135,166.16841,247.0904,0.0,0.7805836,-3.047232,-0.05291392,0.8017068
600.0,6.3231816,16.5,200.0,101.60101,417.8074,1220.4731,178.86348,250.59457,0.0,-0.8170848,3.0932136,1.8876475,1.1076679
600.0,6.3231816,17.5,198.0,139.83112,361.40182,632.1417,293.2156,202.58379,0.0,-0.56531036,2.9661014,1.6671536,1.6119282
600.0,6.3231816,18.5,227.0,128.61833,407.02597,825.6862,571.98254,417.74216,0.0,0.59328383,-2.8804908,0.7045975,2.3199415
600.0,6.3231816,19.5,233.0,43.77459,784.03766,621.48895,741.0112,139.1165,0.0,1.1403078,-3.0511909,0.7184971,2.3915682
600.0,6.3231816,20.5,238.0,149.28384,167.72559,533.62427,216.80528,173.80559,0.0,0.8742427,2.5754762,1.9439386,-2.0686247
600.0,6.3231816,21.5,267.0,322.53006,195.30812,287.62668,179.1775,361.62985,0.0,1.399648,1.8487931,0.5964721,-2.7825816
602.0,6.2968197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602.0,6.2968197,1.5,14.0,2.8809407,40.5395,269.16748,26.8042,26.866373,0.0,-1.9687033,3.1041813,2.8890784,-0.60010487
602.0,6.2968197,2.5,36.0,15.088486,37.975758,1083.5942,30.83355,137.1657,0.0,2.9029078,-3.121937,2.959293,1.763486
602.0,6.2968197,3.5,40.0,11.13121,37.16261,816.20544,36.046234,130.16405,0.0,-0.7750331,3.053184,1.0866344,2.052003
602.0,6.2968197,4.5,48.0,8.836824,79.811195,702.2755,97.23775,51.836105,0.0,-1.6135652,-3.0967848,1.523579,2.7743819
602.0,6.2968197,5.5,76.0,13.20244,48.750004,1076.4902,61.099583,46.570225,0.0,0.9362655,-3.050459,0.24182422,2.638458
602.0,6.2968197,6.5,72.0,24.287758,41.18658,745.52435,115.11931,22.296167,0.0,2.4875193,-2.9702702,0.4402577,1.1183529
602.0,6.2968197,7.5,85.0,6.2718782,126.73347,728.9697,226.20186,34.733727,0.0,2.2583585,-3.0202873,0.8312744,0.5424048
602.0,6.2968197,8.5,111.0,47.060665,146.77051,952.5213,91.55114,199.77869,0.0,0.7304479,-3.1382902,0.32612795,2.1961946
602.0,6.2968197,9.5,104.0,101.99479,209.84639,616.2814,127.76416,98.11639,0.0,0.41779143,-2.9575424,-1.3082055,0.9468193
602.0,6.2968197,10.5,132.0,7.553842,143.55136,763.9932,103.83626,212.56067,0.0,0.7507707,-2.8550317,-0.16079602,0.915058
602.0,6.2968197,11.5,141.0,71.89733,314.51,590.0208,257.2859,248.53712,0.0,2.617632,-2.508012,0.85234946,1.2497443
602.0,6.2968197,12.5,140.0,60.023457,112.982025,569.0065,158.09714,100.01672,0.0,1.2534032,-2.373598,1.9729345,2.4048133
602.0,6.2968197,13.5,177.0,38.558334,326.9907,728.44904,231.92857,162.71687,0.0,-0.22291647,-2.722671,-1.5900675,1.7725548
602.0,6.2968197,14.5,170.0,181.6229,290.66177,825.1691,190.17978,269.51288,0.0,-0.18673047,-3.0400307,-1.2085888,0.9594951
602.0,6.2968197,15.5,186.0,127.148834,288.36282,1080.087,300.93988,355.18796,0.0,-0.8434884,3.074,-1.7339339,0.8130631
602.0,6.2968197,16.5,203.0,61.777378,350.30435,1366.607,163.47527,228.88693,0.0,-0.63281655,3.0248826,2.1740477,1.1214844
602.0,6.2968197,17.5,198.0,116.62898,422.4738,1137.927,152.54881,175.17436,0.0,-0.41338617,3.0656526,0.1404343,1.376446
602.0,6.2968197,18.5,228.0,40.27818,461.16458,961.51184,707.3263,235.38611,0.0,0.30438524,-2.9105442,0.50471586,1.4558846
602.0,6.2968197,19.5,228.0,85.94851,617.7669,726.81903,639.1864,441.10745,0.0,0.70497495,-2.5536907,0.14312758,1.6535698
602.0,6.2968197,20.5,234.0,143.777,537.0077,492.51605,462.8796,207.58818,0.0,1.7834116,2.9994593,0.021020908,2.1238713
602.0,6.2968197,21.5,264.0,124.58802,592.4024,455.0603,401.6677,389.35742,0.0,1.655817,1.6742157,0.5431879,-3.063733
604.0,6.2570214,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604.0,6.2570214,1.5,14.0,13.006336,18.435396,232.74213,23.696241,3.6743295,0.0,1.5522099,-3.0908656,1.5296804,0.9704864
604.0,6.2570214,2.5,36.0,63.37835,24.632822,1063.7438,45.537186,119.786476,0.0,2.3194668,-2.9597058,-0.031132756,2.2712111
604.0,6.2570214,3.5,40.0,16.2466,29.104353,763.9658,44.083424,193.19186,0.0,0.9449095,-3.1086001,1.435304,1.8693537
604.0,6.2570214,4.5,48.0,18.465591,123.71027,708.0949,80.95336,138.41641,0.0,2.3332765,3.1280022,-0.3276223,2.0577283
604.0,6.2570214,5.5,76.0,20.146173,115.734,1100.8679,48.570206,167.3691,0.0,-0.32972288,-3.088134,-1.0506766,1.8874565
604.0,6.2570214,6.5,72.0,41.8867,13.170837,826.94073,106.5188,140.20325,0.0,-1.3385729,-3.0958571,-1.514096,1.4387643
604.0,6.2570214,7.5,86.0,3.7613866,98.12449,852.6199,28.473335,148.82466,0.0,-1.721944,-3.0457318,-1.6474606,0.77299535
604.0,6.2570214,8.5,110.0,63.977505,173.6209,974.659,127.68311,178.87234,0.0,0.6351209,-3.1251607,0.4807522,1.6640142
604.0,6.2570214,9.5,104.0,57.299793,113.398155,719.2739,138.66478,99.19988,0.0,1.7317383,-2.8168783,-1.0015036,1.311822
604.0,6.2570214,10.5,132.0,7.805964,260.4129,897.1491,133.78885,42.4092,0.0,2.3397121,-2.7858477,-2.3758545,-0.501356
604.0,6.2570214,11.5,142.0,113.04414,249.25977,668.49274,119.738785,88.98695,0.0,0.9995229,-2.880765,0.45134062,-0.6197121
604.0,6.2570214,12.5,138.0,173.26553,327.08948,638.9864,168.53337,160.3217,0.0,0.75840676,-2.6347346,0.18361714,-0.885156
604.0,6.2570214,13.5,178.0,130.08023,335.08353,777.76807,250.1541,303.48724,0.0,0.29026034,-2.7616904,-1.6115352,0.2941617
604.0,6.2570214,14.5,170.0,105.06618,337.8073,692.4546,317.8867,353.5333,0.0,0.17488602,-3.0022478,-1.7318035,0.25034317
604.0,6.2570214,15.5,187.0,11.87187,401.30148,738.47833,189.97946,497.50693,0.0,0.046795398,-3.0494223,-1.0236776,0.3946448
604.0,6.2570214,16.5,199.0,21.567469,337.37775,1088.628,420.5183,659.54376,0.0,-0.29981735,2.9798608,-0.3522439,0.72771716
604.0,6.2570214,17.5,201.0,191.64444,176.37,1180.2404,439.30273,359.7431,0.0,0.09969651,-3.038839,0.19413584,2.0325947
604.0,6.2570214,18.5,231.0,97.97254,215.56277,1201.5792,607.24835,185.71617,0.0,-0.68972033,3.1074393,1.1178417,2.954025
